id;location;source;target;site_url;start_str;end_str
154041;msk;"Событие: День России в Москве 2017
Город: msk
Дата и время: 2017-06-10 10:00 — 2017-06-12 23:00
Категории: holiday
Теги: праздники, free
Описание: Всё ещё думаете, куда пойти на День России 2017? KudaGo решил многие вопросы за вас и рад представить гид по праздничным мероприятиям этого года. Слушаем молодых музыкантов, встречаем самый большой в стране самовар, знакомимся с талантами — всё это и многое другое подарит столица на один из главных праздников года.";День России. Дата: 2017-06-10 10:00—2017-06-12 23:00. Всё ещё думаете, куда пойти на День России 2017? KudaGo решил многие вопросы за вас и рад представить гид по праздничным мероприятиям этого года. Слушаем молодых музыкантов, встречаем самый большой в стране самовар, знакомимся с талантами — всё это и многое другое подарит столица на один из главных праздников года. Подробнее: https://kudago.com/msk/event/prazdnik-den-rossii-2017/;https://kudago.com/msk/event/prazdnik-den-rossii-2017/;10.06.2017 10:00;12.06.2017 23:00
155978;msk;"Событие: III Международный фестиваль искусств «Вдохновение»
Город: msk
Дата и время: 2017-07-21 21:00 — 2017-08-02 01:00
Категории: kids, festival
Теги: детям, 6+, free, городские, фестивали, open air
Описание: В парке «Останкино» пройдет ежегодный световой мультимедийный фестиваль. После захода солнца зрители смогут прогуляться по волшебному лесу и встретить диковинных персонажей: летающих рыб, светящихся лошадей и небесных люмильеров.";Вдохновение. Дата: 2017-07-21 21:00—2017-08-02 01:00. В парке «Останкино» пройдет ежегодный световой мультимедийный фестиваль. После захода солнца зрители смогут прогуляться по волшебному лесу и встретить диковинных персонажей: летающих рыб, светящихся лошадей и небесных люмильеров. Подробнее: https://kudago.com/msk/event/vyistavka-vdohnovenie/;https://kudago.com/msk/event/vyistavka-vdohnovenie/;21.07.2017 21:00;02.08.2017 1:00
155766;msk;"Событие: День семьи, любви и верности 2017
Город: msk
Дата и время: 2017-07-08 11:00 — 2017-07-08 22:00
Категории: kids, holiday, festival
Теги: детям, free, городские, кино, детские, музыка, фестивали, праздники, open air
Описание: Большой музыкальный фестиваль в «Царицыно», экскурсии в столичных музеях, события в парках, бесплатные кинопоказы и яркий фейерверк — 8 июля в Москве отметят праздник, известный также как День Петра и Февронии.";День семьи, любви и верности. Дата: 2017-07-08 11:00—2017-07-08 22:00. Большой музыкальный фестиваль в «Царицыно», экскурсии в столичных музеях, события в парках, бесплатные кинопоказы и яркий фейерверк — 8 июля в Москве отметят праздник, известный также как День Петра и Февронии. Подробнее: https://kudago.com/msk/event/festival-den-petra-i-fevronii/;https://kudago.com/msk/event/festival-den-petra-i-fevronii/;08.07.2017 11:00;08.07.2017 22:00
202918;msk;"Событие: фестиваль «Московская Масленица — 2025»
Город: msk
Дата и время: 2023-02-17 00:00 — 2023-02-27 00:00
Категории: festival
Теги: интересное, бесплатно, гастрономические фестивали, free, городские, детские, фестивали, масленица 2025, еда и напитки, всей семьёй
Описание: Как говорится в народе: «Масленицу провожаем – весне дорогу открываем». А чтобы тепло и солнце скорее пришли, зиму нужно проводить с размахом! В Москве прощание с холодами пройдет весело: гостей ждут масленичный квест, увлекательные ремесленные мастер-классы, спектакли по мотивам народных сказок и, конечно же, пышные,";Московская Масленица — 2025. Дата: 2023-02-17 00:00—2023-02-27 00:00. Как говорится в народе: «Масленицу провожаем – весне дорогу открываем». А чтобы тепло и солнце скорее пришли, зиму нужно проводить с размахом! В Москве прощание с холодами пройдет весело: гостей ждут масленичный квест, увлекательные ремесленные мастер-классы, спектакли по мотивам народных сказок и, конечно же, пышные, румяные блины. Подробнее: https://kudago.com/msk/event/festival-festival-maslenitsa-2023/;https://kudago.com/msk/event/festival-festival-maslenitsa-2023/;17.02.2023 0:00;27.02.2023 0:00
184052;msk;"Событие: Фестиваль «Путешествие в Рождество»
Город: msk
Дата и время: 2019-12-13 10:00 — 2020-01-31 22:00
Категории: kids, holiday, festival
Теги: детям, новый год 2026, новогодние ярмарки и подарки, новогодние развлечения, новогодние вечеринки, рождество, городские, free, детские, новый год с детьми, фестивали, новогодние ёлки и спектакли, праздники, всей семьёй
Описание: Главный зимний фестиваль не даст заскучать! Приходите пробовать традиционные новогодние блюда, посетить тематические зоны, кататься на катках и каруселях, выбирать сувениры, принимать поздравления от Деда Мороза и Снегурочки.";Путешествие в Рождество. Дата: 2019-12-13 10:00—2020-01-31 22:00. Главный зимний фестиваль не даст заскучать! Приходите пробовать традиционные новогодние блюда, посетить тематические зоны, кататься на катках и каруселях, выбирать сувениры, принимать поздравления от Деда Мороза и Снегурочки. Подробнее: https://kudago.com/msk/event/detyam-puteshestvie-v-rozhdestvo-dekabr-2019/;https://kudago.com/msk/event/detyam-puteshestvie-v-rozhdestvo-dekabr-2019/;13.12.2019 10:00;31.01.2020 22:00
185321;msk;"Событие: Новый год — 2026 в Москве
Город: msk
Дата и время: 2019-12-30 00:00 — 2020-01-09 00:00
Категории: kids, holiday, yarmarki-razvlecheniya-yarmarki, recreation, entertainment
Теги: детям, ярмарки (развлечения, ярмарки), новый год 2026, free, новогодняя атмосфера, активный отдых, развлечения, новогодние праздники, праздники, новогодняя ночь
Описание: Новогодние праздники дарят нам долгожданный отдых от повседневных забот. Прогулки по живописно украшенному городу, покупка подарков и вкусностей на ярмарках, катание на коньках, тюбинге и северных оленях, уютная домашняя атмосфера — всё это превратит встречу 2026 года в яркое событие, которое запомнится надолго.";Новый год — 2026 в Москве. Дата: 2019-12-30 00:00—2020-01-09 00:00. Новогодние праздники дарят нам долгожданный отдых от повседневных забот. Прогулки по живописно украшенному городу, покупка подарков и вкусностей на ярмарках, катание на коньках, тюбинге и северных оленях, уютная домашняя атмосфера — всё это превратит встречу 2026 года в яркое событие, которое запомнится надолго. Подробнее: https://kudago.com/msk/event/prazdnik-novyij-god-2020-v-moskve/;https://kudago.com/msk/event/prazdnik-novyij-god-2020-v-moskve/;30.12.2019 0:00;09.01.2020 0:00
174386;msk;"Событие: концерт Rammstein
Город: msk
Дата и время: 2019-07-29 19:30
Категории: concert, entertainment
Теги: интересное, индастриал, новое на сайте, метал, концерты, развлечения, 16+, в свободное время, вечером, рок и рок-н-ролл, с парнем
Описание: Иногда они возвращаются! Суровые немецкие индустриальщики проедутся по Европе с серией стадионных шоу, посвящённых выходу первого за 10 лет студийного альбома.";Rammstein. Дата: 2019-07-29 19:30—2019-07-29 19:30. Иногда они возвращаются! Суровые немецкие индустриальщики проедутся по Европе с серией стадионных шоу, посвящённых выходу первого за 10 лет студийного альбома. Подробнее: https://kudago.com/msk/event/kontsert-rammstein/;https://kudago.com/msk/event/kontsert-rammstein/;29.07.2019 19:30;29.07.2019 19:30
179430;msk;"Событие: Фестиваль ушастых развлечений «Зайцы на Ферме»
Город: msk
Дата и время: 2019-06-01 10:30 — 2019-06-01 14:00
Категории: kids, festival
Теги: детям, выходные с детьми, это лето, новое на сайте, детский праздник, детские, дети, покормить животных, день защиты детей, фестивали, всей семьёй
Описание: Фестиваль «Зайцы на Ферме» пройдёт в сказочной деревне пушистиков, где всё живёт по своим ушастым законам. Маленьких зайчат и их родителей ждут шоу, спектакли, мастер-классы, игры на свежем воздухе и общение с животными. Здесь малыши смогут убедиться, что природа интереснее и ценнее гаджетов!";Зайцы на Ферме. Дата: 2019-06-01 10:30—2019-06-01 14:00. Фестиваль «Зайцы на Ферме» пройдёт в сказочной деревне пушистиков, где всё живёт по своим ушастым законам. Маленьких зайчат и их родителей ждут шоу, спектакли, мастер-классы, игры на свежем воздухе и общение с животными. Здесь малыши смогут убедиться, что природа интереснее и ценнее гаджетов!. Подробнее: https://kudago.com/msk/event/detyam-zajtsyi-na-ferme/;https://kudago.com/msk/event/detyam-zajtsyi-na-ferme/;01.06.2019 10:30;01.06.2019 14:00
179608;msk;"Событие: Международный театральный фестиваль имени А. П. Чехова
Город: msk
Дата и время: 2019-05-14 19:00 — 2019-07-21 19:00
Категории: theater, festival
Теги: современный танец, балет, экспериментальный театр, спектакли, лучшее в театрах, премьеры, театр, фестивали, драматические постановки
Описание: Четырнадцатый Чеховский фестиваль соберёт в Москве ведущие российские и мировые театры. Зрители увидят работы уже полюбившихся режиссёров и новых молодых постановщиков, мировые премьеры и спектакли, ставшие легендами.";Международный театральный фестиваль имени А. П. Чехова. Дата: 2019-05-14 19:00—2019-07-21 19:00. Четырнадцатый Чеховский фестиваль соберёт в Москве ведущие российские и мировые театры. Зрители увидят работы уже полюбившихся режиссёров и новых молодых постановщиков, мировые премьеры и спектакли, ставшие легендами. Подробнее: https://kudago.com/msk/event/teatr-mezhdunarodnyij-teatralnyij-festival-imeni-a-p-chehova/;https://kudago.com/msk/event/teatr-mezhdunarodnyij-teatralnyij-festival-imeni-a-p-chehova/;14.05.2019 19:00;21.07.2019 19:00
173197;msk;"Событие: концерт Metallica
Город: msk
Дата и время: 2019-07-21 19:00
Категории: concert
Теги: концерты, метал, рок и рок-н-ролл, 16+
Описание: В рамках грандиозного турне WorldWired Tour мастодонты трэш-метала Metallica сделают единственную остановку в России, чтобы сотрясти «Лужники».";Metallica. Дата: 2019-07-21 19:00—2019-07-21 19:00. В рамках грандиозного турне WorldWired Tour мастодонты трэш-метала Metallica сделают единственную остановку в России, чтобы сотрясти «Лужники». Подробнее: https://kudago.com/msk/event/kontsert-metallica/;https://kudago.com/msk/event/kontsert-metallica/;21.07.2019 19:00;21.07.2019 19:00
